host_ip,n_connections,n_unique_dsts,n_unique_dst_ports,total_bytes_sent,avg_bytes_sent,std_bytes_sent,total_bytes_received,avg_bytes_received,bytes_ratio,total_packets_sent,avg_packets_sent,total_packets_received,packets_ratio,avg_duration,std_duration,max_duration,min_duration,proto_entropy,tcp_ratio,udp_ratio,icmp_ratio,dst_entropy,port_entropy,n_unique_services,service_entropy,state_entropy,rst_ratio,fin_ratio,established_ratio,avg_sttl,std_sttl,avg_dttl,avg_sload,max_sload,avg_dload,total_sloss,loss_ratio,avg_sjit,conns_per_dst,bytes_per_conn,attack_ratio,primary_attack_cat,cluster
10.40.170.2,184,1,2,8602,46.75,5.841485326496347,0,0.0,1.0,187,1.016304347826087,0,1.0,0.9782084402173913,7.618920340480904,59.999935,0.0,0.0,0.0,0.0,0.0,0.0,0.996929708080541,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10000535869565218,6.133998,0.0,0,0.0,4.37647,184.0,46.75,0.0,Normal,4
10.40.182.1,383,3,3,88844,231.9686684073107,160.47377192704877,19136,49.96344647519582,4.642767558528428,1622,4.234986945169712,416,3.8990384615384617,51.00263730287207,448.1246088932344,8786.637695,0.0,1.0196872587831634,0.0,0.0026109660574412533,0.0,1.0196872587831634,1.0235364416603563,1,0.0,1.0980486359093895,0.0,0.0,0.4621409921671018,0.7023498694516971,3.280941269741173,0.0,30.45817882767624,107.200508,4.999820866840731,0,0.0,50.588946020887725,127.66666666666667,281.93211488250654,0.0,Normal,3
10.40.182.3,213,1,2,10212,47.943661971830984,9.275480952708916,0,0.0,1.0,222,1.0422535211267605,0,1.0,2.5348497323943664,12.096728370373395,59.999989,0.0,0.0,0.0,0.0,0.0,0.0,0.9996024742757982,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2591919014084507,6.137235,0.0,0,0.0,3.8182941267605632,213.0,47.943661971830984,0.0,Normal,4
10.40.182.6,350,2,2,175136,500.3885714285714,34.496424559784785,0,0.0,1.0,698,1.9942857142857142,0,1.0,8.491428571428572e-05,2.7556008532112532e-05,0.000143,0.0,0.050798721674164604,0.0,0.9942857142857143,0.0,0.050798721674164604,0.050798721674164604,1,0.0,0.0,0.0,0.0,0.0,63.63428571428572,4.831009128722596,0.0,26751468.062857144,74666664.0,0.0,0,0.0,0.0,175.0,500.3885714285714,0.0,Normal,4
10.40.85.1,392,5,3,98128,250.3265306122449,303.98616961103147,16836,42.94897959183673,5.828462817771442,1732,4.418367346938775,366,4.73224043715847,48.576351288265315,441.7359297931601,8760.776367,0.0,1.086946362399574,0.0,0.0,0.015306122448979591,1.1092802590887665,1.0217403702346644,1,0.0,1.21493244539467,0.0,0.0,0.42857142857142855,1.5357142857142858,7.813278094244767,0.0,111.06196580867346,19096.44531,4.566582392857143,0,0.0,239.11357936989796,78.4,293.2755102040816,0.0,Normal,3
10.40.85.10,68,3,4,12988,191.0,111.17741636882808,672,9.882352941176471,19.327380952380953,186,2.735294117647059,24,7.75,5.2224594264705875,9.989651461721156,52.133259,1e-06,1.770560484835425,0.04411764705882353,0.3382352941176471,0.3382352941176471,1.573286658656107,1.770560484835425,2,0.9231199835423004,1.770560484835425,0.0,0.0,0.6176470588235294,45.39705882352941,28.478921089891195,0.0,43798408.8782918,672000000.0,0.48671274999999997,21,0.11290322580645161,984.4866266029412,22.666666666666668,200.88235294117646,0.0,Normal,6
10.40.85.30,194,1,2,35144,181.15463917525773,15.266435265773513,21392,110.26804123711341,1.6428571428571428,764,3.9381443298969074,764,1.0,25.249933,12.083898408892315,31.089989,0.0,0.0,0.0,0.0,0.0,0.0,0.988931806246975,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,266064.81704871135,19368422.0,161952.49677370104,0,0.0,15454.694721649485,194.0,291.4226804123711,0.0,Normal,4
149.171.126.0,26,10,26,1089617,41908.346153846156,160878.14340573238,69732,2682.0,15.625781563701027,1018,39.15384615384615,622,1.6366559485530547,0.38031903846153853,0.6439515602436867,2.586688,0.0,0.2351933818192415,0.9615384615384616,0.038461538461538464,0.0,3.074875775583769,4.7004397181410935,1,0.0,0.9293550115186284,0.0,0.7692307692307693,0.19230769230769232,29.076923076923077,0.271746488194703,28.73076923076923,12779695.206917308,216000000.0,425761.908845577,372,0.3654223968565815,248.11106957692306,2.6,44590.346153846156,0.0,Normal,2
149.171.126.1,31,10,31,2981183,96167.19354838709,259378.85652746374,102868,3318.3225806451615,28.98066454096512,2641,85.19354838709677,1564,1.688618925831202,0.6749229032258064,1.822265300123162,9.257932,0.0,0.45868581620054033,0.9032258064516129,0.0967741935483871,0.0,3.042547119133971,4.954196310386876,1,0.0,1.1357395969510382,0.0,0.7096774193548387,0.1935483870967742,29.161290322580644,0.3738782505529831,28.032258064516128,20981391.2999941,266666656.0,325152.4686221935,1081,0.40931465354032565,440.5936142903226,3.1,99485.51612903226,0.0,Normal,2
149.171.126.10,3002,1,1,792528,264.0,0.0,0,0.0,1.0,6004,2.0,0,1.0,5.8654230512991336e-06,4.4284692454190545e-06,6.3e-05,1e-06,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,274410868.59626913,1056000000.0,0.0,0,0.0,0.0,3002.0,264.0,0.0,Normal,4
149.171.126.12,1613,3,4,507940,314.9039057656541,642.4433808391142,0,0.0,1.0,4450,2.758834469931804,0,1.0,0.42427915561066337,4.918439886282518,59.892513,1e-06,0.0,0.0,1.0,0.0,0.06532843352566321,0.0826204183603909,3,0.07939831509134425,0.06763511250753744,0.0,0.0,0.0,60.0,0.0,0.0,266519550.478769,1056000000.0,0.0,0,0.0,6.91981186050837,537.6666666666666,314.9039057656541,0.0,Normal,4
149.171.126.13,27,3,5,181542,6723.777777777777,4059.20368595893,895,33.148148148148145,202.84022346368715,2800,103.70370370370371,20,140.0,50.29556807407407,21.115710430270944,59.943115,0.163893,0.5032583347756457,0.1111111111111111,0.8888888888888888,0.0,0.6052912052261445,0.9014828729297167,2,0.5032583347756457,0.8710955350455423,0.0,0.1111111111111111,0.0,81.33333333333333,61.48921106115346,28.22222222222222,2296.2260267407405,25480.03906,275.49376988888883,5,0.0017857142857142857,1241.4594723703706,9.0,6756.925925925926,0.0,Normal,5
149.171.126.14,4136,2,2,1131626,273.6039651837524,282.1132806060533,0,0.0,1.0,8894,2.150386847195358,0,1.0,0.07204821324951645,2.071035685758886,59.847416,1e-06,0.0,0.0,1.0,0.0,0.013459761882857803,0.013459761882857803,2,0.013459761882857803,0.013459761882857803,0.0,0.0,0.0,60.0,0.0,0.0,266651167.0367127,1056000000.0,0.0,0,0.0,0.7324369485009671,2068.0,273.6039651837524,0.0,Normal,4
149.171.126.15,4463,1,2,1178836,264.13533497647325,9.041146265260146,1794,0.4019717678691463,657.0992196209587,8934,2.0017925162446786,8,1116.75,0.00020131436253641047,0.013051809722977559,0.871941,1e-06,0.0030397336974398183,0.00022406453058480843,0.9997759354694152,0.0,0.0,0.0030397336974398183,2,0.0030397336974398183,0.0030397336974398183,0.0,0.00022406453058480843,0.0,60.04302038987228,2.874006759817794,0.05691239076854134,269332073.35913014,1056000000.0,3.2275699148554784,2,0.00022386389075442132,1.084189589065651,4463.0,264.53730674434235,0.0,Normal,4
149.171.126.18,8253,3,3,2211256,267.93359990306556,246.1089643788755,359,0.04349933357566945,6159.487465181059,17020,2.06228038289107,8,2127.5,0.02169311414031261,1.1245594159275878,59.881889,1e-06,0.0017512796023404515,0.00012116806009935781,0.9998788319399007,0.0,0.9812872107438539,0.007786841667421414,3,0.007786841667421414,0.006428850801778538,0.0,0.00012116806009935781,0.0,60.023264267539076,2.1134661973882447,0.030776687265236885,262545539.13557792,1056000000.0,0.3653063481158367,1,5.8754406580493536e-05,1.2006375085423482,2751.0,267.9770992366412,0.0,Normal,4
149.171.126.2,28,10,28,776273,27724.035714285714,73930.2334980267,73445,2623.035714285714,10.569446524610253,890,31.785714285714285,680,1.3088235294117647,0.26896592857142854,0.44879484788453,1.466581,3e-06,0.4912373418243331,0.8928571428571429,0.10714285714285714,0.0,3.2579235654413843,4.807354922057605,1,0.0,1.2010947341319422,0.0,0.6785714285714286,0.21428571428571427,29.035714285714285,0.18898223650461363,26.642857142857142,26838229.404243823,200000000.0,191532.50169889285,282,0.31685393258426964,181.72128610714284,2.8,30347.071428571428,0.0,Normal,2
149.171.126.3,34,10,34,1848491,54367.382352941175,236317.4684108691,129002,3794.176470588235,14.329165439295515,1684,49.529411764705884,1032,1.6317829457364341,0.5931362352941176,2.3729920298298905,13.871742,0.0,0.833764907210665,0.7352941176470589,0.2647058823529412,0.0,3.119996576850896,5.087462841250341,1,0.0,1.3404062136890413,0.0,0.6176470588235294,0.20588235294117646,29.058823529411764,0.23883257361061283,25.558823529411764,53489645.843462944,608000000.0,402397.5765258235,643,0.3818289786223278,344.1915087941176,3.4,58161.55882352941,0.0,Normal,2
149.171.126.4,28,10,28,910003,32500.10714285714,103518.53389193764,71936,2569.1428571428573,12.650175155693951,906,32.357142857142854,639,1.4178403755868545,0.3519117142857143,0.8257629570071842,3.990726,0.0,0.22228483068568797,0.9642857142857143,0.03571428571428571,0.0,3.1245186549588992,4.807354922057605,1,0.0,0.8631205685666311,0.0,0.7142857142857143,0.2857142857142857,29.178571428571427,0.3900210277874798,28.857142857142858,7706843.390696786,69333328.0,302264.35628646426,310,0.34216335540838855,215.07932235714284,2.8,35069.25,0.0,Normal,2
149.171.126.5,27,8,27,561617,20800.62962962963,49033.498060900354,57770,2139.6296296296296,9.721602908083781,788,29.185185185185187,588,1.3401360544217686,0.24229844444444446,0.45762924822757267,1.526559,0.000118,0.22853814395352803,0.9629629629629629,0.037037037037037035,0.0,2.9174934105176606,4.754887502163469,1,0.0,0.6051865766334205,0.0,0.8518518518518519,0.14814814814814814,29.037037037037038,0.19245008972987526,31.037037037037038,5294205.59375,21556552.0,412910.4691392223,224,0.28426395939086296,126.73104633333334,3.375,22940.25925925926,0.0,Normal,2
149.171.126.6,36,10,36,3188149,88559.69444444444,246322.2242639355,106700,2963.8888888888887,29.879559512652296,2705,75.13888888888889,1492,1.8130026809651474,0.5196316666666667,1.2839652782044046,5.817648,0.0,0.5813214987637029,0.8611111111111112,0.1388888888888889,0.0,3.241427169075075,5.169925001442313,1,0.0,1.1769280792542194,0.0,0.6944444444444444,0.19444444444444445,29.083333333333332,0.280305955290694,25.055555555555557,26552583.895943053,356000000.0,568106.0888944999,1099,0.40628465804066544,416.8846287777778,3.6,91523.58333333333,0.0,Normal,2
149.171.126.7,27,10,27,1358490,50314.444444444445,142168.3446615134,91153,3376.037037037037,14.903404166620955,1574,58.2962962962963,1108,1.4205776173285198,0.9776335925925926,2.355563184035504,11.867768,0.0,0.5032583347756457,0.8888888888888888,0.1111111111111111,0.0,3.027880447234184,4.754887502163469,1,0.0,1.1170949925429108,0.0,0.7037037037037037,0.2222222222222222,29.0,0.0,27.666666666666668,17176848.06416637,162000000.0,354834.8040312222,570,0.36213468869123255,830.6904914074074,2.7,53690.48148148148,0.0,Normal,2
149.171.126.8,28,8,27,593448,21194.571428571428,51924.64845040756,50549,1805.3214285714287,11.740054204830956,883,31.535714285714285,674,1.3100890207715135,0.3106223928571428,0.7315979079323984,3.496694,0.0,0.5916727785823274,0.8571428571428571,0.14285714285714285,0.0,2.8936474604335363,4.735926350629033,1,0.0,1.0575851584676956,0.0,0.75,0.10714285714285714,29.071428571428573,0.262265264156481,25.464285714285715,20198417.647448894,216000000.0,2010305.75499725,266,0.3012457531143828,291.11469885714286,3.5,22999.89285714286,0.0,Normal,2
149.171.126.9,33,9,32,1678453,50862.21212121212,152489.66653612087,72104,2184.969696969697,23.278223122156884,1644,49.81818181818182,1030,1.5961165048543688,1.4474946666666668,5.781128888209712,33.366173,0.0,0.6136190195993708,0.8484848484848485,0.15151515151515152,0.0,2.9677479068438837,4.983788058752394,1,0.0,1.1156444074874061,0.0,0.7272727272727273,0.15151515151515152,29.03030303030303,0.17407765595569782,27.333333333333332,25018584.76214767,304000000.0,333564.97982560605,580,0.35279805352798055,997.969820909091,3.6666666666666665,53047.181818181816,0.0,Normal,2
175.45.176.0,8267,10,214,73212139,8855.950042337003,202946.2656733628,25748020,3114.5542518446837,2.8434085028674048,96995,11.73279303253901,45923,2.112122465866777,0.9826463582920043,5.701967101482366,59.995247,0.0,2.0231343329347635,0.2632151929357687,0.5945324785290915,0.00024192572880125802,2.651111916147615,2.7949510432289943,12,1.5106199762402543,1.0253529491376017,0.00012096286440062901,0.23999032297084796,0.028305310269747187,238.39445990081046,52.57868490415214,63.45324785290916,91075788.40599485,5640000000.0,12261.365627728681,32009,0.3300067013763596,3805.2478257498487,826.7,11970.504294181686,0.8927059392766421,Generic,0
175.45.176.1,12762,11,355,52742168,4132.750979470303,153142.15666817312,30066917,2355.97218304341,1.7541594969647203,91309,7.154756307788748,47072,1.9397731135282121,0.6827144956119731,4.337981089560633,59.944077,0.0,1.7204416715684816,0.1813195423914747,0.6988716502115656,0.00039178812098417175,2.441101365256585,2.3138154801156556,12,1.3157396569085438,0.8236361600243582,0.0008619338661651778,0.16596144804889515,0.008540981037454943,242.98848142924305,44.72766490722997,43.04466384579219,99327703.31282848,4256000000.0,7539.507602068328,24355,0.2667316474827235,3377.7482693215798,1160.1818181818182,6488.723162513713,0.9196834351982448,Generic,0
175.45.176.2,3224,11,270,33352119,10344.950062034739,157125.29241375191,36283224,11254.101736972705,0.9192159715465197,57430,17.813275434243177,48946,1.1733338781514322,1.6399364305210917,6.326794633510911,59.986519,0.0,2.0785948033635337,0.6625310173697271,0.16035980148883375,0.0006203473945409429,3.2303762113065906,4.253634906585268,10,1.3533883895261642,1.217093413194516,0.0006203473945409429,0.6259305210918115,0.024503722084367244,215.25341191066997,77.13598961796927,161.05179900744417,101678495.3700131,4256000000.0,30016.155115400434,17750,0.3090719136339892,13835.185686278848,293.09090909090907,21599.051799007444,0.7099875930521092,Exploits,0
175.45.176.3,11914,11,324,50667403,4252.761708913883,106394.94620150383,27937984,2344.970958536176,1.8135668987425864,87474,7.34211851603156,46795,1.8693022758841757,0.4638849385596777,3.3406271259938776,59.977337,0.0,1.2932328066161558,0.22234346147389625,0.7244418331374853,0.0006714789323484975,2.3185648978015516,2.2570949801528997,12,1.3031365622503606,0.965849354890268,0.002518045996306866,0.19170723518549607,0.022074869900956858,237.40414638240725,54.17597808647156,52.50537183145879,89512497.14135219,4480000000.0,8895.486457933943,24357,0.27844845325468137,2805.6622811337083,1083.090909090909,6597.732667450059,0.893990263555481,Generic,0
59.166.0.0,19558,10,7168,88700978,4535.27855608958,8242.472564286994,907663992,46408.83485018918,0.09772446498020823,807190,41.2716024133347,1064541,0.7582516784229072,0.5325470464771448,2.071398517348211,40.57008,0.0,0.8542469492904723,0.7208814807240004,0.27911851927599957,0.0,3.3214961493087176,8.441340889686092,7,1.9425187382651028,0.8627415824901664,0.0,0.7174557725738828,0.2822374475917783,31.001073729420185,0.032751051417177705,28.993659883423664,1022681.6131107626,92800000.0,3124172.22192277,122335,0.15155663474522726,1321.6509556528786,1955.8,50944.11340627876,0.0,Normal,1
59.166.0.1,19762,10,7292,88468256,4476.685355733225,8095.978419597951,922669855,46689.09295617852,0.09588289410408883,817585,41.3715717032689,1078283,0.7582285911954468,0.5364581182572614,2.3005279928068996,59.999065,0.0,0.8536269425615989,0.7213338730897683,0.27866612691023174,0.0,3.321366044470752,8.483942823415722,7,1.9378045549314191,0.8629103086412115,0.0,0.7176905171541342,0.2819552676854569,31.000809634652363,0.028443278331815588,28.99362412711264,1064028.931701649,378666656.0,3189673.5686216764,122813,0.1502143508014457,1471.9952385810143,1976.2,51165.77831191175,0.0,Normal,1
59.166.0.2,19873,10,7452,89503759,4503.786997433704,8149.556347982956,924487669,46519.78407890102,0.09681444328707428,823741,41.4502591455744,1083931,0.7599570452362743,0.526987333769436,2.1878716780708127,48.061325,0.0,0.8513432932052546,0.7229909928043073,0.27700900719569266,0.0,3.320887750006264,8.551188592558407,7,1.9331264071434635,0.8619342706290567,0.0,0.7199215015347457,0.2795249836461531,31.000956071051174,0.030906391649431143,28.986212449051475,1047938.3281050597,154666656.0,3236084.9801683086,123523,0.14995368689915883,1312.7565210526343,1987.3,51023.57107633472,0.0,Normal,1
59.166.0.3,19864,10,7414,88497576,4455.173983084977,8060.364777534083,891492929,44879.82928916633,0.09926896010186975,809946,40.77456705598067,1059331,0.764582552573275,0.5086981550543697,2.040809805208225,59.924084,0.0,0.8515865658844886,0.722815142972211,0.27718485702778894,0.0,3.3216288422297646,8.512783835573575,7,1.9189091335995625,0.8618095825572638,0.0,0.7187877567458719,0.2808095046314942,31.00070479258961,0.026539241034606097,28.98751510269835,1088482.3753404047,1090909056.0,3189995.7027546163,123147,0.15204346956463763,1316.0681140665524,1986.4,49335.003272251306,0.0,Normal,1
59.166.0.4,19418,10,7288,88179881,4541.141260685961,8261.942786517604,868496038,44726.338345864664,0.10153170209395936,798391,41.116026367288086,1039054,0.7683825864680758,0.50254,2.0221624216903034,59.555241,0.0,0.8507038252577382,0.7234524667833968,0.27654753321660314,0.0,3.321396543221056,8.48860544260012,7,1.918246735962767,0.8597368796233205,0.0,0.7196930682871563,0.2799979400556185,31.000978473581213,0.03126606009685863,28.99356267380781,1060143.48784157,232000000.0,3231579.845895707,122423,0.15333714934161333,1276.511563903234,1941.8,49267.47960655062,0.0,Normal,1
59.166.0.5,19784,10,7302,89277857,4512.629245855236,8180.374847955419,921399731,46572.97467650627,0.09689373026309252,822649,41.581530529720986,1083872,0.7589909140562723,0.5317614726546703,2.2322382825685865,53.015339,0.0,0.8493528541160664,0.7244237767893247,0.2755762232106753,0.0,3.32164037398093,8.460091187782995,7,1.9111242718731885,0.8563450713972113,0.0,0.7208855640921957,0.27896279822078446,31.000707642539425,0.0265928096744903,28.997927618277394,1007362.8157238152,64888888.0,3170920.0951942694,124564,0.15141816254563004,1332.964191976951,1978.4,51085.6039223615,0.0,Normal,1
59.166.0.6,18949,10,7094,85777591,4526.760831706159,8225.922884797388,867281187,45769.23251886643,0.09890401439089443,785107,41.43263496754446,1027815,0.7638602277647242,0.5064834389149823,1.9905715428297255,58.697056,0.0,0.8463267798848328,0.726581877671645,0.27341812232835505,0.0,3.3211743199710813,8.47595951998519,7,1.9276563493582277,0.8558645610367351,0.0,0.7226238851654441,0.27705947543405984,31.00079159850124,0.028124964309297732,28.99630587366088,1088814.5281013546,1200000000.0,3242717.199858863,119215,0.1518455446200327,1291.796417799567,1894.9,50295.99335057259,0.0,Normal,1
59.166.0.7,18964,10,7051,85326765,4499.407561695844,8132.760357944854,920655378,48547.53100611686,0.09268046115731265,796437,41.997310693946424,1060618,0.7509178610960779,0.5576451260282641,2.3355447101034734,59.948132,0.0,0.8545929400489717,0.7206285593756592,0.2793714406243409,0.0,3.3214043958037722,8.43911427634013,7,1.9219574125963244,0.862190170594036,0.0,0.7170955494621388,0.28269352457287494,31.000685509386205,0.02617394865403853,28.99968361105252,1011838.45286291,73000000.0,3204125.626542518,118297,0.14853277785939126,1327.327816469996,1896.4,53046.9385678127,0.0,Normal,1
59.166.0.8,19000,10,7241,87110739,4584.775736842105,8217.829135928918,863749597,45460.50510526316,0.10085184329180069,793585,41.767631578947366,1032010,0.7689702619160667,0.5194603530526316,2.1429914957927267,53.093273,0.000816,0.8383511224208834,0.7321578947368421,0.2678421052631579,0.0,3.321442010480881,8.573732593852487,7,1.9353277497335266,0.8451208088116644,0.0,0.7287894736842105,0.2710526315789474,31.000684210526316,0.026149156212137387,29.001157894736842,1035085.2037418835,22468836.0,3267156.479542565,120964,0.15242727622119873,1300.4806485868946,1900.0,50045.28084210526,0.0,Normal,1
59.166.0.9,19075,10,6974,88450041,4636.961520314548,8384.60787595334,963109555,50490.67129750983,0.09183798513970719,824202,43.20849279161206,1105100,0.7458166681748258,0.5654290290432503,2.358087069405474,59.95274,0.0,0.8546638654622886,0.7205766710353866,0.27942332896461336,0.0,3.3207331491756378,8.38641432312904,7,1.9385447796781583,0.8626156229329944,0.0,0.7162254259501966,0.2836173001310616,31.00094364351245,0.03070508875499683,28.996225425950197,988143.7256029166,64888888.0,3125657.3963731253,123106,0.14936386953683684,1301.7105864552032,1907.5,55127.63281782438,0.0,Normal,1
